Index,Altitude,kalmanAltitude,kalmanVelocity,kalmanAcceleration,ax,ay,az,islaunch,isApogee1,isApogee2,isApogee3
154,1566.87,1567.09,0.11,0.03,0.15,-10.06,0.36,0,0,0,0
155,1567.26,1567.12,0.13,0.04,0.12,-10.06,0.33,0,0,0,0
156,1567.16,1567.14,0.14,0.04,0.15,-10.06,0.34,0,0,0,0
157,1566.87,1567.13,0.12,0.04,0.09,-10.06,0.36,0,0,0,0
158,1566.78,1567.1,0.11,0.03,0.15,-10.06,0.34,0,0,0,0
159,1566.87,1567.08,0.1,0.03,0.12,-10.07,0.31,0,0,0,0
160,1566.97,1567.08,0.09,0.03,0.13,-10.06,0.34,0,0,0,0
161,1567.06,1567.09,0.09,0.03,0.12,-10.06,0.32,0,0,0,0
162,1567.16,1567.11,0.1,0.03,0.15,-10.06,0.31,0,0,0,0
163,1567.35,1567.15,0.12,0.03,0.11,-10.06,0.37,0,0,0,0
164,1567.16,1567.16,0.13,0.04,0.13,-10.07,0.32,0,0,0,0
165,1567.16,1567.17,0.13,0.04,0.11,-10.05,0.34,0,0,0,0
166,1567.06,1567.18,0.13,0.04,0.13,-10.05,0.36,0,0,0,0
167,1566.49,1567.11,0.09,0.02,0.13,-10.06,0.32,0,0,0,0
168,1566.97,1567.11,0.09,0.02,0.12,-10.06,0.33,0,0,0,0
169,1567.35,1567.14,0.11,0.03,0.13,-10.07,0.37,0,0,0,0
170,1566.78,1567.11,0.09,0.02,0.13,-10.06,0.29,0,0,0,0
171,1566.68,1567.07,0.06,0.02,0.14,-10.06,0.33,0,0,0,0
172,1567.06,1567.08,0.06,0.02,0.11,-10.06,0.37,0,0,0,0
173,1567.06,1567.08,0.07,0.02,0.14,-10.07,0.3,0,0,0,0
174,1566.58,1567.04,0.04,0.01,0.1,-10.06,0.36,0,0,0,0
175,1567.35,1567.08,0.06,0.02,0.14,-10.06,0.34,0,0,0,0
176,1566.87,1567.06,0.05,0.02,0.12,-10.06,0.32,0,0,0,0
177,1567.06,1567.07,0.05,0.02,0.14,-10.07,0.36,0,0,0,0
178,1567.06,1567.07,0.06,0.02,0.11,-10.07,0.31,0,0,0,0
179,1566.97,1567.07,0.05,0.02,0.15,-10.07,0.3,0,0,0,0
180,1566.87,1567.05,0.04,0.01,0.11,-10.07,0.36,0,0,0,0
181,1566.97,1567.05,0.04,0.01,0.13,-10.07,0.33,0,0,0,0
182,1566.49,1566.99,0.01,0.01,0.14,-10.06,0.32,0,0,0,0
183,1566.87,1566.98,0,0,0.11,-10.07,0.39,0,0,0,0
184,1566.49,1566.93,-0.03,0,0.11,-10.07,0.32,0,0,0,0
185,1566.49,1566.88,-0.05,-0.01,0.13,-10.06,0.3,0,0,0,0
186,1566.49,1566.83,-0.08,-0.01,0.12,-10.01,0.37,0,0,0,0
187,1566.78,1566.82,-0.08,-0.01,0.14,-10.04,0.32,0,0,0,0
188,1566.3,1566.76,-0.11,-0.02,0.12,-10.06,0.32,0,0,0,0
189,1566.87,1566.76,-0.1,-0.02,0.12,-10.06,0.36,0,0,0,0
190,1567.06,1566.79,-0.08,-0.01,0.12,-10.06,0.31,0,0,0,0
191,1566.87,1566.79,-0.07,-0.01,0.13,-10.06,0.33,0,0,0,0
192,1567.26,1566.84,-0.04,0,0.12,-10.07,0.34,0,0,0,0
193,1566.87,1566.84,-0.04,0,0.14,-10.07,0.3,0,0,0,0
194,1567.45,1566.91,0,0.02,0.11,-10.07,0.35,0,0,0,0
195,1566.68,1566.88,-0.01,0.01,0.14,-10.06,0.37,0,0,0,0
196,1566.87,1566.88,-0.01,0.01,0.14,-10.07,0.3,0,0,0,0
197,1566.68,1566.86,-0.02,0.01,0.13,-10.07,0.32,0,0,0,0
198,1566.78,1566.85,-0.02,0.01,0.12,-10.06,0.33,0,0,0,0
199,1566.68,1566.83,-0.03,0.01,0.16,-10.06,0.29,0,0,0,0
200,1567.06,1566.86,-0.01,0.01,0.09,-10.06,0.3,0,0,0,0
201,1566.87,1566.86,0,0.02,-0.39,-10.24,0.57,0,0,0,0
202,1567.06,1566.89,0.02,0.02,0.31,-9.98,0.47,0,0,0,0
203,1567.54,1566.96,0.06,0.03,-0.11,-10.1,0.16,0,0,0,0
204,1567.45,1567.03,0.1,0.04,0.21,-9.99,0.6,0,0,0,0
205,1567.16,1567.06,0.12,0.05,0.7,-12.7,1.04,0,0,0,0
206,1566.78,1567.05,0.12,0.05,1.08,-17.43,2.23,0,0,0,0
207,1566.68,1567.03,0.12,0.06,0.35,-19.46,3.71,0,0,0,0
208,1567.06,1567.08,0.16,0.08,-1.76,-22.45,5.6,0,0,0,0
209,1567.64,1567.19,0.25,0.12,-3.42,-17.18,7.04,0,0,0,0
210,1569.08,1567.44,0.4,0.17,-1.61,-30.39,4.07,0,0,0,0
211,1570.71,1567.86,0.65,0.24,-0.92,-29.45,3.31,0,0,0,0
212,1572.25,1568.42,0.96,0.32,-1.46,-27.04,1.7,0,0,0,0
213,1574.65,1569.21,1.39,0.43,-3.66,-22.21,0.85,0,0,0,0
214,1574.17,1569.92,1.77,0.53,-3.66,-20.86,5.55,0,0,0,0
215,1572.25,1570.37,2,0.59,-0.73,-12.29,5.64,0,0,0,0
216,1575.81,1571.17,2.4,0.68,1.58,-9.4,1.98,0,0,0,0
217,1575.52,1571.87,2.73,0.75,-0.77,-9.36,-0.34,0,0,0,0
218,1575.23,1572.5,3,0.81,-3.43,-8.85,1.03,0,0,0,0
219,1573.5,1572.9,3.14,0.83,-3.26,-3.69,2.56,0,0,0,0
220,1572.73,1573.17,3.2,0.82,-2.27,-0.65,2.18,0,0,0,0
221,1573.4,1573.49,3.28,0.82,-2.35,-1.65,1.92,0,0,0,0
222,1573.31,1573.78,3.34,0.82,-2.1,-3.82,2.15,0,0,0,0
223,1572.54,1573.95,3.32,0.8,-2.4,-2.97,1.69,0,0,0,0
224,1571.87,1574.02,3.25,0.76,-2.62,-0.21,1.53,0,0,0,0
225,1572.15,1574.11,3.19,0.72,-3.72,0.94,1.3,0,0,0,0
226,1572.83,1574.27,3.18,0.71,-3.79,-1.29,4.12,0,0,0,0
227,1569.47,1574.03,2.94,0.63,-0.93,-3.14,4.05,0,0,0,0
228,1570.33,1573.88,2.74,0.56,-0.34,-2.01,0.27,0,0,0,0
229,1572.25,1573.94,2.67,0.52,-4.62,-1.62,-0.57,0,0,0,0
230,1571.58,1573.94,2.58,0.49,-5.37,-2.71,5.77,0,0,0,0
231,1566.87,1573.41,2.18,0.38,-0.48,-2.74,5.22,0,0,0,0
232,1566.68,1572.77,1.68,0.2,23.09,23.6,-15.44,0,0,0,0
233,1566.49,1572.28,1.35,0.14,-6.1,10.8,12.53,0,0,0,0
234,1567.26,1571.85,1.06,0.06,-14.47,-4.5,3.86,0,0,0,0
235,1566.39,1571.38,0.76,0,-5.73,-18.67,9.04,0,0,0,0
236,1566.1,1570.8,0.34,-0.14,-17.29,-22.45,-11.53,0,0,0,0
237,1565.91,1570.28,0.02,-0.22,-12.5,-12.42,1.67,0,0,0,0
238,1565.82,1569.81,-0.26,-0.28,-8.09,1.28,4.77,0,0,0,0
239,1565.91,1569.35,-0.53,-0.34,-9.45,-0.25,1.4,0,0,0,0
240,1566.2,1568.95,-0.75,-0.39,-9.19,0.03,0.76,0,0,0,0
241,1566.1,1568.57,-0.96,-0.43,-9.18,0.05,0.8,0,0,0,0
242,1566.2,1568.22,-1.15,-0.47,-9.2,0.05,0.83,0,0,0,0
243,1565.91,1567.86,-1.33,-0.5,-9.18,0.05,0.83,0,0,0,0
244,1565.62,1567.49,-1.5,-0.53,-9.19,0.06,0.82,0,0,0,0
245,1565.82,1567.17,-1.65,-0.56,-9.19,0.07,0.82,0,0,0,0
246,1566.2,1566.92,-1.75,-0.56,-9.18,0.06,0.82,0,0,0,0
247,1566.01,1566.66,-1.84,-0.57,-9.19,0.06,0.82,0,0,0,0
248,1566.01,1566.43,-1.92,-0.57,-9.18,0.06,0.81,0,0,0,0
249,1565.34,1566.14,-2.03,-0.59,-9.19,0.06,0.81,0,0,0,0
250,1565.91,1565.93,-2.08,-0.58,-9.19,0.06,0.79,0,0,0,0
251,1565.91,1565.75,-2.12,-0.57,-9.19,0.07,0.81,0,0,0,0
252,1566.01,1565.59,-2.13,-0.56,-9.19,0.06,0.8,0,0,0,0
253,1565.72,1565.42,-2.16,-0.55,-9.18,0.06,0.81,0,0,0,0
254,1566.01,1565.29,-2.15,-0.53,-9.19,0.07,0.8,0,0,0,0
255,1565.91,1565.17,-2.14,-0.51,-9.19,0.07,0.81,0,0,0,0
256,1566.2,1565.1,-2.11,-0.48,-9.18,0.06,0.8,0,0,0,0
257,1565.72,1564.99,-2.09,-0.46,-9.18,0.07,0.8,0,0,0,0
258,1566.01,1564.92,-2.05,-0.43,-9.18,0.06,0.8,0,0,0,0
259,1565.91,1564.85,-2.01,-0.41,-9.19,0.06,0.79,0,0,0,0
260,1565.82,1564.78,-1.97,-0.38,-9.18,0.06,0.8,0,0,0,0
261,1565.72,1564.72,-1.93,-0.36,-9.19,0.06,0.79,0,0,0,0
262,1566.01,1564.69,-1.86,-0.33,-9.2,0.07,0.79,0,0,0,0
263,1565.53,1564.62,-1.82,-0.31,-9.19,0.07,0.79,0,0,0,0
264,1566.1,1564.63,-1.73,-0.27,-9.18,0.06,0.79,0,0,0,0
265,1566.01,1564.63,-1.65,-0.24,-9.19,0.06,0.79,0,0,0,0
266,1566.3,1564.68,-1.55,-0.21,-9.19,0.07,0.8,0,0,0,0
267,1566.1,1564.7,-1.47,-0.17,-9.19,0.08,0.8,0,0,0,0
268,1566.3,1564.75,-1.37,-0.14,-9.2,0.06,0.8,0,0,0,0
269,1566.3,1564.81,-1.27,-0.11,-9.19,0.06,0.78,0,0,0,0
270,1566.1,1564.85,-1.18,-0.08,-9.19,0.06,0.79,0,0,0,0
271,1565.72,1564.84,-1.12,-0.06,-9.19,0.07,0.79,0,0,0,0
272,1565.72,1564.85,-1.05,-0.04,-9.19,0.08,0.78,0,0,0,0
273,1566.39,1564.93,-0.95,-0.01,-9.18,0.08,0.79,0,0,0,0
274,1566.1,1564.98,-0.86,0.02,-9.19,0.07,0.78,0,0,0,0
275,1565.62,1564.98,-0.81,0.04,-9.18,0.07,0.77,0,0,0,0
276,1565.72,1565,-0.75,0.05,-9.18,0.07,0.78,0,0,0,0
277,1565.91,1565.04,-0.67,0.07,-9.2,0.06,0.77,0,0,0,0
278,1566.01,1565.09,-0.59,0.09,-9.19,0.07,0.79,0,0,0,0
279,1566.49,1565.2,-0.49,0.12,-9.19,0.06,0.77,0,0,0,0
280,1566.3,1565.28,-0.4,0.14,-9.2,0.08,0.77,0,0,0,0
281,1566.01,1565.33,-0.33,0.16,-9.19,0.07,0.77,0,0,0,0
282,1566.39,1565.43,-0.24,0.18,-9.18,0.08,0.77,0,0,0,0
283,1566.1,1565.49,-0.17,0.2,-9.19,0.07,0.77,0,0,0,0
284,1566.3,1565.57,-0.1,0.21,-9.18,0.08,0.78,0,0,0,0
285,1566.39,1565.66,-0.02,0.23,-9.19,0.07,0.76,0,0,0,0
286,1566.2,1565.72,0.04,0.24,-9.2,0.07,0.77,0,0,0,0
287,1566.39,1565.8,0.11,0.25,-9.19,0.08,0.77,0,0,0,0
288,1566.3,1565.88,0.17,0.26,-9.19,0.08,0.79,0,0,0,0
289,1566.2,1565.93,0.22,0.27,-9.18,0.08,0.78,0,0,0,0
290,1566.1,1565.98,0.26,0.28,-9.19,0.07,0.75,0,0,0,0
291,1565.43,1565.94,0.26,0.27,-9.19,0.07,0.77,0,0,0,0
292,1565.91,1565.97,0.28,0.27,-9.2,0.07,0.77,0,0,0,0
293,1566.1,1566.01,0.32,0.27,-9.19,0.07,0.76,0,0,0,0
294,1566.01,1566.05,0.35,0.27,-9.2,0.07,0.78,0,0,0,0
295,1566.01,1566.08,0.37,0.27,-9.19,0.08,0.75,0,0,0,0
296,1565.82,1566.09,0.38,0.27,-9.19,0.07,0.75,0,0,0,0
297,1566.58,1566.18,0.44,0.28,-9.2,0.08,0.75,0,0,0,0
298,1566.01,1566.2,0.46,0.28,-9.19,0.07,0.75,0,0,0,0
299,1565.62,1566.19,0.45,0.27,-9.2,0.07,0.76,0,0,0,0
300,1565.53,1566.16,0.43,0.26,-9.2,0.07,0.76,0,0,0,0
301,1566.39,1566.23,0.48,0.26,-9.19,0.08,0.75,0,0,0,0
302,1566.01,1566.25,0.49,0.26,-9.18,0.08,0.74,0,0,0,0
303,1565.53,1566.22,0.47,0.25,-9.19,0.07,0.75,0,0,0,0
304,1565.43,1566.17,0.44,0.24,-9.19,0.07,0.74,0,0,0,0
305,1565.72,1566.17,0.44,0.23,-9.2,0.07,0.76,0,0,0,0
306,1565.91,1566.18,0.44,0.23,-9.2,0.08,0.75,0,0,0,0
307,1566.01,1566.21,0.45,0.23,-9.19,0.07,0.74,0,0,0,0
308,1565.91,1566.22,0.46,0.22,-9.19,0.08,0.74,0,0,0,0
309,1565.91,1566.23,0.46,0.22,-9.2,0.08,0.76,0,0,0,0
310,1566.1,1566.26,0.47,0.22,-9.19,0.08,0.74,0,0,0,0
311,1566.39,1566.32,0.5,0.22,-9.18,0.08,0.75,0,0,0,0
312,1565.82,1566.31,0.49,0.21,-9.2,0.08,0.75,0,0,0,0
313,1566.1,1566.34,0.5,0.21,-9.19,0.08,0.74,0,0,0,0
314,1566.39,1566.39,0.53,0.21,-9.2,0.07,0.75,0,0,0,0
315,1565.72,1566.37,0.5,0.2,-9.2,0.07,0.73,0,0,0,0
316,1565.62,1566.33,0.47,0.19,-9.2,0.07,0.74,0,0,0,0
317,1565.62,1566.3,0.45,0.18,-9.2,0.08,0.75,0,0,0,0
318,1565.53,1566.26,0.42,0.17,-9.2,0.07,0.73,0,0,0,0
319,1565.72,1566.24,0.4,0.16,-9.2,0.08,0.73,0,0,0,0
320,1565.82,1566.23,0.39,0.15,-9.19,0.06,0.74,0,0,0,0
321,1565.43,1566.18,0.35,0.14,-9.21,0.07,0.73,0,0,0,0
322,1565.91,1566.19,0.35,0.14,-9.19,0.07,0.74,0,0,0,0
323,1565.82,1566.18,0.34,0.13,-9.19,0.09,0.74,0,0,0,0
324,1565.82,1566.17,0.33,0.13,-9.2,0.08,0.73,0,0,0,0
325,1565.82,1566.17,0.32,0.12,-9.18,0.08,0.74,0,0,0,0
326,1566.01,1566.18,0.33,0.12,-9.19,0.08,0.72,0,0,0,0
327,1565.72,1566.16,0.31,0.12,-9.2,0.08,0.74,0,0,0,0
328,1565.43,1566.11,0.28,0.1,-9.19,0.08,0.73,0,0,0,0
329,1565.91,1566.12,0.28,0.1,-9.19,0.08,0.74,0,0,0,0
